city_name,country,city_lat,city_lon,population,max_precip_raw,max_precip,cell_idx,time_idx,timestamp,lat,lon,continent
Linares,Spain,38.0833201,-3.6333547,59761,0.0193738881498575,19.37388814985752,1102542,16851,2085-10-07T12:00:00.000000000,38.13708114624024,356.3611755371094,Europe
Holman,Canada,70.7333685,-117.7499809,500,0.019373333081603,19.37333308160305,154720,33875,2091-08-05T12:00:00.000000000,70.75570678710938,242.1582794189453,North America
Kumi,Uganda,1.4608333,33.9361111,13000,0.0193634014576673,19.36340145766735,3188249,34362,2091-10-05T09:00:00.000000000,1.5114234685897827,33.99049758911133,Africa
Naxcivan,Azerbaijan,39.2092204,45.4122045,94788,0.019347570836544,19.34757083654404,1055931,36097,2092-05-09T06:00:00.000000000,39.19156265258789,45.43328857421875,Asia
Mashhad,Iran,36.2719658,59.5680508,2469000,0.0193426851183176,19.342685118317604,1187811,21301,2087-04-16T18:00:00.000000000,36.098419189453125,59.64980697631836,Asia
Kem,Russia,64.9535921,34.5683703,13829,0.0193381737917661,19.338173791766167,260019,27985,2089-07-30T06:00:00.000000000,64.92091369628906,34.65373992919922,Europe
Birsk,Russia,55.4243805,55.544351,41014,0.0193368010222911,19.336801022291183,493291,4650,2081-08-04T09:00:00.000000000,55.36027908325195,55.593563079833984,Europe
Plast,Russia,54.3685018,60.8085258,17050,0.0193046443164348,19.30464431643486,521525,25094,2088-08-02T21:00:00.000000000,54.3760986328125,60.76321029663086,Europe
Price,United States of America,39.5997909,-110.8100169,10281,0.019294086843729,19.29408684372902,1040196,31438,2090-10-04T21:00:00.000000000,39.61335754394531,249.1539459228516,North America
Sayanogorsk,Russia,53.0894326,91.4004052,55642,0.019268600270152,19.26860027015209,561238,36384,2092-06-14T03:00:00.000000000,53.04042053222656,91.35848999023438,Europe
Klintsy,Russia,52.7652405,32.2448429,66336,0.0192596595734357,19.259659573435783,569396,22485,2087-09-11T18:00:00.000000000,52.75922393798828,32.35955047607422,Europe
Ağrı,Turkey,39.7198352,43.0513151,87854,0.0192581824958324,19.258182495832443,1035665,19992,2086-11-04T03:00:00.000000000,39.68365478515625,43.125,Asia
Salluit,Canada,62.1825985,-75.659501,106,0.0192454382777214,19.245438277721405,318824,24874,2088-07-06T09:00:00.000000000,62.24955749511719,284.2105407714844,North America
Alto Rio Sanguer,Argentina,-45.0332861,-70.8332839,1548,0.0192309357225894,19.230935722589493,5771029,34598,2091-11-03T21:00:00.000000000,-45.02635955810547,289.1459655761719,South America
Fox Bay,Falkland Islands,-51.95059,-60.0869631,120,0.0191936884075403,19.19368840754032,6004216,30376,2090-05-25T03:00:00.000000000,-51.91564178466797,300.0,South America
Umeå,Sweden,63.8299915,20.2399943,78197,0.0191774982959032,19.17749829590321,283549,16183,2085-07-16T00:00:00.000000000,63.7961311340332,20.29177665710449,Europe
Blagodarnyy,Russia,45.1047262,43.4343925,35995,0.019175037741661,19.175037741661072,825883,12953,2084-06-07T06:00:00.000000000,45.09666061401367,43.53032684326172,Europe
Zuwara,Libya,32.9344096,12.0791487,180310,0.0191700551658868,19.17005516588688,1333415,32072,2090-12-23T03:00:00.000000000,32.86467361450195,12.227662086486816,Africa
Qapshaghay,Kazakhstan,43.8843872,77.0687219,42167,0.0191698558628559,19.16985586285591,873046,19928,2086-10-27T03:00:00.000000000,43.83128356933594,77.06505584716797,Asia
Starsy Oskol,Russia,51.3004203,37.8399536,226977,0.0191524140536785,19.15241405367852,610704,25514,2088-09-24T09:00:00.000000000,51.42354965209961,37.75768661499024,Europe
El Paso,United States of America,31.7819298,-106.511941,753000,0.0191255714744329,19.125571474432945,1391752,7542,2082-07-31T21:00:00.000000000,31.66959571838379,253.3813018798828,North America
Ciudad Juárez,Mexico,31.6923229,-106.4919939,1343000,0.0191255714744329,19.125571474432945,1391752,7542,2082-07-31T21:00:00.000000000,31.66959571838379,253.3813018798828,North America
Brooks,Canada,50.5670543,-111.9000021,14163,0.0191209632903337,19.120963290333748,638838,18894,2086-06-19T21:00:00.000000000,50.57996368408203,248.176986694336,North America
Wadi Halfa,Sudan,21.8000246,31.3499621,17121,0.0191148873418569,19.11488734185696,1899600,25285,2088-08-26T18:00:00.000000000,21.757469177246094,31.384614944458008,Africa
Wrocław,Poland,51.1104319,17.0300093,634893,0.0191063359379768,19.10633593797684,623911,7910,2082-09-15T21:00:00.000000000,51.00175476074219,17.227191925048828,Europe
Kogon,Uzbekistan,39.7210755,64.5457653,107566,0.0191015545278787,19.10155452787876,1035837,6230,2082-02-17T21:00:00.000000000,39.68365478515625,64.625,Asia
Zmeinogorsk,Russia,51.1570958,82.195024,11514,0.0190919078886508,19.09190788865089,619852,24484,2088-05-18T15:00:00.000000000,51.14235305786133,82.08258819580078,Europe
Tatvan,Turkey,38.5065759,42.2815946,73222,0.0190916899591684,19.09168995916844,1085170,19991,2086-11-04T00:00:00.000000000,38.48857498168945,42.25237274169922,Asia
Karasburg,Namibia,-28.0195959,18.7399825,6054,0.0190690234303474,19.069023430347443,5031684,29542,2090-02-09T21:00:00.000000000,-28.08435821533203,18.711864471435547,Africa
Savissivik,Greenland,76.0194762,-65.1124806,66,0.0190532486885786,19.05324868857861,82637,19248,2086-08-03T03:00:00.000000000,76.02811431884766,294.8275756835937,North America
El Maitén,Argentina,-42.0500057,-71.1666228,4269,0.0190512221306562,19.05122213065624,5656613,33423,2091-06-10T00:00:00.000000000,-42.00351333618164,288.8646240234375,South America
Lake Louise,Canada,51.4336939,-116.1832807,1248,0.019046252593398,19.04625259339809,611970,12969,2084-06-09T06:00:00.000000000,51.42354965209961,243.79747009277344,North America
Tikhvin,Russia,59.6448464,33.5143778,62075,0.0190262179821729,19.02621798217297,379443,4717,2081-08-12T18:00:00.000000000,59.64850616455078,33.64678955078125,Europe
Osakarovka,Kazakhstan,50.5799475,72.5699267,7305,0.0189931038767099,18.99310387670993,635479,13701,2084-09-08T18:00:00.000000000,50.65026092529297,72.60638427734375,Asia
Akjoujt,Mauritania,19.7469991,-14.3909995,370,0.0189811885356903,18.981188535690308,2017839,13529,2084-08-18T06:00:00.000000000,19.71880531311035,345.5677185058594,Africa
Wenatchee,United States of America,47.4236286,-120.3090237,62625,0.0189799834042787,18.979983404278755,744564,31438,2090-10-04T21:00:00.000000000,47.41651916503906,239.60655212402344,North America
Hughes,United States of America,66.0491842,-154.2549878,78,0.0189771391451358,18.97713914513588,238109,33868,2091-08-04T15:00:00.000000000,66.04569244384766,205.8260803222656,North America
Kirsanov,Russia,52.6573918,42.7174336,17975,0.0189747493714094,18.974749371409416,571594,21876,2087-06-27T15:00:00.000000000,52.688926696777344,42.72897338867188,Europe
Balakovo,Russia,52.0299882,47.8000175,199572,0.0189722944051027,18.97229440510273,588860,1249,2080-06-05T06:00:00.000000000,52.12653732299805,47.734806060791016,Europe
Sumqayt,Azerbaijan,40.5800153,49.6299833,279159,0.0189708527177572,18.970852717757225,995808,27615,2089-06-14T00:00:00.000000000,40.66783905029297,49.46175765991211,Asia
Volgograd,Russia,48.7119558,44.4980146,984000,0.0189608298242092,18.960829824209213,702364,1265,2080-06-07T06:00:00.000000000,48.61159896850586,44.31703186035156,Europe
Punta Arenas,Chile,-53.1649861,-70.9399958,117430,0.0189504921436309,18.95049214363098,6042793,14630,2085-01-02T21:00:00.000000000,-53.1810188293457,289.2613525390625,South America
Severodvinsk,Russia,64.5700238,39.830013,194292,0.0189455151557922,18.94551515579224,267301,19067,2086-07-11T12:00:00.000000000,64.56941986083984,39.59016418457031,Europe
Novotroitsk,Russia,51.200013,58.3300207,106186,0.0189332365989685,18.933236598968502,615259,22520,2087-09-16T03:00:00.000000000,51.28295135498047,58.216217041015625,Europe
La Ligua,Chile,-32.4599967,-71.2400291,26665,0.018929248675704,18.929248675704,5246056,3859,2081-04-27T12:00:00.000000000,-32.4428825378418,288.69989013671875,South America
