city_name,country,city_lat,city_lon,population,max_precip_raw_ctrl,max_precip_ctrl,cell_idx_ctrl,time_idx_ctrl,timestamp_ctrl,lat_ctrl,lon_ctrl,max_precip_raw_ssp,max_precip_ssp,cell_idx_ssp,time_idx_ssp,timestamp_ssp,lat_ssp,lon_ssp,precip_diff,continent
Bifoum,Gabon,-0.3329138,10.3832316,134,0.0276385359466075,27.63853594660759,3320507,19529,1956-09-07T06:00:00.000000000,-0.3163444697856903,10.3359375,0.3097904324531555,309.7904324531555,3320507,21217,2087-04-06T06:00:00.000000000,-0.3163444697856903,10.3359375,282.1518965065479,Africa
Idah,Nigeria,7.1104045,6.7399397,75087,0.0666703209280967,66.67032092809677,2801392,31086,1960-08-21T21:00:00.000000000,7.06502628326416,6.689188957214356,0.3041887581348419,304.1887581348419,2796660,29967,2090-04-04T00:00:00.000000000,7.135324954986572,6.694843769073486,237.51843720674515,Africa
Kochi,India,10.0169534,76.2219697,1519000,0.1122698709368705,112.26987093687056,2597845,30324,1960-05-18T15:00:00.000000000,10.15817165374756,76.18421173095703,0.3452459275722503,345.2459275722504,2602408,9861,2083-05-17T18:00:00.000000000,10.087873458862305,76.35407257080078,232.97605663537985,Asia
Boma,Congo (Kinshasa),-5.8299943,13.0499939,178638,0.0222833678126335,22.283367812633514,3707882,15244,1955-03-21T15:00:00.000000000,-5.799648284912109,13.02828598022461,0.2336457967758178,233.64579677581787,3703070,23978,2088-03-16T09:00:00.000000000,-5.729349613189697,13.0174560546875,211.3624289631844,Africa
Awka,Nigeria,6.2104336,7.0699971,500000,0.0380943976342678,38.09439763426781,2853715,4489,1951-07-16T06:00:00.000000000,6.291739940643311,7.154811859130859,0.237387016415596,237.387016415596,2858495,21102,2087-03-22T21:00:00.000000000,6.22144079208374,7.148829460144043,199.2926187813282,Africa
Wyndham,Australia,-15.594524745058166,128.2243231160757,800,0.0546948239207267,54.694823920726776,4339170,35578,1962-03-06T09:00:00.000000000,-15.57117748260498,128.18438720703125,0.2535531222820282,253.5531222820282,4339170,32229,2091-01-11T18:00:00.000000000,-15.57117748260498,128.18438720703125,198.85829836130145,Oceania
Port-Gentil,Gabon,-0.720022,8.7800219,116836,0.1226805821061134,122.68058210611343,3356239,10857,1953-09-19T06:00:00.000000000,-0.80843585729599,8.695993423461914,0.3172947764396667,317.29477643966675,3340941,30162,2090-04-28T09:00:00.000000000,-0.5975395441055298,8.816614151000977,194.6141943335533,Africa
Zaozhuang,China,34.8819473,117.5680765,2145000,0.0841636210680008,84.1636210680008,1238150,36571,1962-07-08T12:00:00.000000000,34.973636627197266,117.3316421508789,0.2762366235256195,276.2366235256195,1247614,19601,2086-09-16T06:00:00.000000000,34.76274108886719,117.79747009277344,192.0730024576187,Asia
Thiruvananthapuram,India,8.515520591980557,76.92519070332577,954000,0.0733009204268455,73.30092042684555,2703765,36157,1962-05-17T18:00:00.000000000,8.541300773620605,76.84436798095703,0.258123368024826,258.12336802482605,2703766,21614,2087-05-25T21:00:00.000000000,8.541300773620605,76.9217529296875,184.8224475979805,Asia
Derby,Australia,-17.31181601826528,123.64215064609336,3199,0.0545597560703754,54.55975607037544,4440027,44351,1965-03-07T00:00:00.000000000,-17.25834846496582,123.60923767089844,0.2388321459293365,238.8321459293365,4440027,8643,2082-12-16T12:00:00.000000000,-17.25834846496582,123.60923767089844,184.27238985896108,Oceania
Chacabuco,Argentina,-34.6500439,-60.4899876,34587,0.0411856509745121,41.1856509745121,5349408,34593,1961-11-03T06:00:00.000000000,-34.69244384765625,299.4690246582031,0.2234750390052795,223.4750390052796,5346243,23376,2088-01-01T03:00:00.000000000,-34.62214279174805,299.43182373046875,182.28938803076747,South America
Brazzaville,Congo (Brazzaville),-4.2572399,15.2827436,1355000,0.0331727154552936,33.172715455293655,3591326,10992,1953-10-06T03:00:00.000000000,-4.112477779388428,15.415987014770508,0.2152039855718612,215.20398557186127,3591326,21128,2087-03-26T03:00:00.000000000,-4.112477779388428,15.415987014770508,182.0312701165676,Africa
Kinshasa,Congo (Kinshasa),-4.3277782,15.313026,7843000,0.0349485166370868,34.94851663708687,3620685,10921,1953-09-27T06:00:00.000000000,-4.534270763397217,15.122950553894045,0.2152039855718612,215.20398557186127,3591326,21128,2087-03-26T03:00:00.000000000,-4.112477779388428,15.415987014770508,180.2554689347744,Africa
Gemena,Congo (Kinshasa),3.2600193,19.7699971,198056,0.0263438336551189,26.343833655118942,3067998,47237,1966-03-02T18:00:00.000000000,3.198593854904175,19.903148651123047,0.2054488211870193,205.4488211870193,3063043,20900,2087-02-25T15:00:00.000000000,3.268892765045166,19.70112991333008,179.10498753190038,Africa
Matadi,Congo (Kinshasa),-5.8166101,13.4500211,245862,0.0379509516060352,37.95095160603523,3703075,37465,1962-10-28T06:00:00.000000000,-5.729349613189697,13.391521453857422,0.2152394950389862,215.2394950389862,3703077,15055,2085-02-25T00:00:00.000000000,-5.729349613189697,13.541147232055664,177.28854343295097,Africa
Samut Songkhram,Thailand,13.412997,100.0009986,35065,0.1023767292499542,102.37672924995422,2388287,11031,1953-10-11T00:00:00.000000000,13.462214469909668,100.04574584960938,0.2777756154537201,277.7756154537201,2388286,33225,2091-05-16T06:00:00.000000000,13.462214469909668,99.9634017944336,175.39888620376587,Asia
