city_name,country,city_lat,city_lon,population,max_precip_raw,max_precip,cell_idx,time_idx,timestamp,lat,lon,continent
Porbandar,India,21.6699809,69.6700004,234684,0.2103637307882309,210.3637307882309,1900016,33797,1961-07-26T18:00:00.000000000,21.757469177246094,69.78461456298828,Asia
Mansa Konko,The Gambia,13.454894163505193,-15.543323511272511,18672,0.2093546986579895,209.3546986579895,2395631,7663,1952-08-16T00:00:00.000000000,13.391915321350098,344.4515686035156,Africa
Mumbai,India,19.06840847529168,72.8758393972653,18978000,0.2053703516721725,205.3703516721725,2038959,7189,1952-06-17T18:00:00.000000000,19.29701232910156,72.9802017211914,Asia
Kalyan,India,19.250232,73.1601749,1576614,0.2053703516721725,205.3703516721725,2038959,7189,1952-06-17T18:00:00.000000000,19.29701232910156,72.9802017211914,Asia
Bhiwandi,India,19.351965,73.12805,795000,0.2033820450305938,203.38204503059387,2038960,7189,1952-06-17T18:00:00.000000000,19.29701232910156,73.06930541992188,Asia
Rajkot,India,22.3119652,70.7980631,1260000,0.1857434213161468,185.74342131614685,1872831,56830,1969-06-13T21:00:00.000000000,22.24955940246582,70.56818389892578,Asia
Port Douglas,Australia,-16.4845881,145.4587218,3000,0.1829325258731842,182.9325258731842,4398515,23757,1958-02-17T18:00:00.000000000,-16.555360794067383,145.42420959472656,Oceania
Daman,India,20.4170083,72.850013,39737,0.1724471598863601,172.44715988636017,1974848,4496,1951-07-17T03:00:00.000000000,20.42179298400879,72.79678344726562,Asia
Bade,Taiwan,24.9575,121.2988889,172065,0.1703990697860717,170.39906978607178,1732876,11076,1953-10-16T15:00:00.000000000,24.85061454772949,121.41783142089844,Asia
Zhongli,Taiwan,24.9650252,121.2167765,1632616,0.1703990697860717,170.39906978607178,1732876,11076,1953-10-16T15:00:00.000000000,24.85061454772949,121.41783142089844,Asia
Taipei,Taiwan,25.0358333,121.5683333,6900273,0.1703990697860717,170.39906978607178,1732876,11076,1953-10-16T15:00:00.000000000,24.85061454772949,121.41783142089844,Asia
New Taipei,Taiwan,25.0127778,121.465,3893740,0.1703990697860717,170.39906978607178,1732876,11076,1953-10-16T15:00:00.000000000,24.85061454772949,121.41783142089844,Asia
Karachi,Pakistan,24.8719381,66.9880631,12130000,0.1696272194385528,169.62721943855286,1754720,48490,1966-08-06T09:00:00.000000000,24.428821563720703,66.85165405273438,Asia
Sittwe,Myanmar,20.1399968,92.8800048,179032,0.1692251414060592,169.2251414060593,1994994,4065,1951-05-24T06:00:00.000000000,20.07029914855957,92.79279327392578,Asia
Surat,India,21.2019296,72.8380936,3842000,0.165929302573204,165.92930257320404,1927440,24753,1958-06-22T06:00:00.000000000,21.26537704467773,72.95315551757812,Asia
Roxas,Philippines,11.5852735,122.7511014,102688,0.1654526889324188,165.45268893241882,2508047,2021,1950-09-10T18:00:00.000000000,11.564146995544434,122.70536041259766,Asia
Chattogram,Bangladesh,22.3319381,91.7980215,4529000,0.1649010330438614,164.9010330438614,1880811,30560,1960-06-17T03:00:00.000000000,22.108963012695312,91.94845581054688,Asia
Yilan,Taiwan,24.75,121.75,150000,0.1618950814008712,161.89508140087128,1744067,11078,1953-10-16T21:00:00.000000000,24.63971900939941,121.70235443115234,Asia
Dili,East Timor,-8.5593884,125.5794559,234331,0.1568285077810287,156.82850778102875,3893877,50685,1967-05-07T18:00:00.000000000,-8.541300773620605,125.44281768798828,Asia
Khulna,Bangladesh,22.8419329,89.5580549,1553000,0.1559924781322479,155.99247813224792,1838356,45138,1965-06-13T09:00:00.000000000,22.88224983215332,89.34306335449219,Asia
Laoag,Philippines,18.1988491,120.5936104,207048,0.1548980772495269,154.89807724952698,2108741,25249,1958-08-23T06:00:00.000000000,18.10193252563477,120.67185974121094,Asia
Ahmedabad,India,23.0319988,72.5780578,5375000,0.1545541286468505,154.5541286468506,1842012,10250,1953-07-05T09:00:00.000000000,22.81195068359375,72.375,Asia
Baguio,Philippines,16.4299907,120.5699426,447824,0.154141753911972,154.14175391197205,2204268,18703,1956-05-27T00:00:00.000000000,16.485061645507812,120.68571472167967,Asia
Pingzhen,Taiwan,24.9438889,121.2161111,201632,0.1538920104503631,153.89201045036316,1732875,11076,1953-10-16T15:00:00.000000000,24.85061454772949,121.32115936279295,Asia
Bafoulabé,Mali,13.8003837,-10.820022,26823,0.1523443162441253,152.34431624412537,2373849,37107,1962-09-13T12:00:00.000000000,13.743409156799316,349.1735534667969,Africa
Sunshine Coast,Australia,-26.6799878,153.0500272,71043,0.1522774398326873,152.27743983268738,4965017,44152,1965-02-10T03:00:00.000000000,-26.748682022094727,153.01991271972656,Oceania
Hiroshima,Japan,34.389781,132.4409671,2045000,0.1501891613006591,150.18916130065918,1273144,28298,1959-09-08T09:00:00.000000000,34.20035171508789,132.18045043945312,Asia
Asunción,Paraguay,-25.29067083610963,-57.62583375528301,1870000,0.1467877179384231,146.78771793842316,4882325,14577,1954-12-28T06:00:00.000000000,-25.13180923461914,302.6213684082031,South America
Quezon City,Philippines,14.6504352,121.0299662,2761720,0.1451427489519119,145.14274895191193,2327735,1063,1950-05-14T00:00:00.000000000,14.446396827697754,121.02873229980467,Asia
Pasay City,Philippines,14.5504413,120.9999939,403064,0.1451427489519119,145.14274895191193,2327735,1063,1950-05-14T00:00:00.000000000,14.446396827697754,121.02873229980467,Asia
Manila,Philippines,14.6061048,120.9802713,11100000,0.1451427489519119,145.14274895191193,2327735,1063,1950-05-14T00:00:00.000000000,14.446396827697754,121.02873229980467,Asia
