city_name,country,city_lat,city_lon,population,max_precip_raw,max_precip,cell_idx,time_idx,timestamp,lat,lon
Kochi,India,10.0169534,76.2219697,1519000,0.34524592757225037,345.24592757225037,2602408,9861,2083-05-17T18:00:00.000000000,10.087873458862305,76.35407257080078
Port-Gentil,Gabon,-0.720022,8.7800219,116836,0.31729477643966675,317.29477643966675,3340941,30162,2090-04-28T09:00:00.000000000,-0.5975395441055298,8.816614151000977
Bifoum,Gabon,-0.3329138,10.3832316,134,0.3097904324531555,309.7904324531555,3320507,21217,2087-04-06T06:00:00.000000000,-0.3163444697856903,10.3359375
Idah,Nigeria,7.1104045,6.7399397,75087,0.3041887581348419,304.1887581348419,2796660,29967,2090-04-04T00:00:00.000000000,7.135324954986572,6.694843769073486
Samut Songkhram,Thailand,13.412997,100.0009986,35065,0.2777756154537201,277.7756154537201,2388286,33225,2091-05-16T06:00:00.000000000,13.462214469909668,99.9634017944336
Zaozhuang,China,34.8819473,117.5680765,2145000,0.2762366235256195,276.2366235256195,1247614,19601,2086-09-16T06:00:00.000000000,34.76274108886719,117.79747009277344
Dhaka,Bangladesh,23.7250056,90.4066336,12797394,0.26803478598594666,268.03478598594666,1804019,15884,2085-06-08T15:00:00.000000000,23.514938354492188,90.85263061523438
Warri,Nigeria,5.5199589,5.7599996,830106,0.26508828997612,265.08828997612,2911320,20900,2087-02-25T15:00:00.000000000,5.448154449462891,5.666942596435547
Thiruvananthapuram,India,8.515520591980557,76.92519070332577,954000,0.25812336802482605,258.12336802482605,2703766,21614,2087-05-25T21:00:00.000000000,8.541300773620605,76.9217529296875
Thanh Hóa,Vietnam,19.8200163,105.7999914,197551,0.2573486566543579,257.3486566543579,2003136,30404,2090-05-28T15:00:00.000000000,19.92970085144043,105.73426818847656
Lázaro Cárdenas,Mexico,17.9587087,-102.199974,160087,0.2548132538795471,254.81325387954712,2118533,31227,2090-09-08T12:00:00.000000000,17.961336135864258,257.9300231933594
Wyndham,Australia,-15.594524745058166,128.2243231160757,800,0.2535531222820282,253.5531222820282,4339170,32229,2091-01-11T18:00:00.000000000,-15.57117748260498,128.18438720703125
Kolkata,India,22.569578883795778,88.36912550443886,14787000,0.2527795135974884,252.7795135974884,1873019,33379,2091-06-04T12:00:00.000000000,22.24955940246582,88.04752349853516
Shuyang,China,34.1298664,118.7733597,1770000,0.25232505798339844,252.32505798339844,1282616,27937,2089-07-24T06:00:00.000000000,33.98945617675781,118.65168762207031
Chattogram,Bangladesh,22.3319381,91.7980215,4529000,0.24902969598770142,249.02969598770142,1869189,7277,2082-06-28T18:00:00.000000000,22.31985855102539,91.67528533935547
Nam Định,Vietnam,20.4200314,106.2000187,243186,0.24577632546424866,245.77632546424866,1975217,30710,2090-07-05T21:00:00.000000000,20.42179298400879,106.20724487304688
Thái Bình,Vietnam,20.4503041,106.3330296,210000,0.24577632546424866,245.77632546424866,1975217,30710,2090-07-05T21:00:00.000000000,20.42179298400879,106.20724487304688
Asansol,India,23.6852792,86.9813874,1328000,0.24277056753635406,242.77056753635406,1800182,21828,2087-06-21T15:00:00.000000000,23.585237503051758,87.06006622314453
Sungai Petani,Malaysia,5.6497184,100.4793343,358499,0.23887872695922852,238.87872695922852,2893314,33165,2091-05-08T18:00:00.000000000,5.729349613189697,100.39900207519531
Derby,Australia,-17.31181601826528,123.64215064609337,3199,0.23883214592933655,238.83214592933655,4440027,8643,2082-12-16T12:00:00.000000000,-17.25834846496582,123.60923767089844
Awka,Nigeria,6.2104336,7.0699971,500000,0.237387016415596,237.387016415596,2858495,21102,2087-03-22T21:00:00.000000000,6.22144079208374,7.148829460144043
Hualien,Taiwan,23.9837415,121.6000089,350468,0.23577150702476501,235.77150702476501,1781618,36850,2092-08-11T09:00:00.000000000,23.936731338500977,121.46186065673828
Boma,Congo (Kinshasa),-5.8299943,13.0499939,178638,0.23364579677581787,233.64579677581787,3703070,23978,2088-03-16T09:00:00.000000000,-5.729349613189697,13.0174560546875
Agartala,India,23.8354043,91.2799991,203264,0.23072980344295502,230.72980344295502,1792646,22414,2087-09-02T21:00:00.000000000,23.725833892822266,91.42555236816406
Pa-an,Myanmar,16.8499981,97.6167006,50000,0.23071147501468658,230.71147501468658,2183053,30478,2090-06-06T21:00:00.000000000,16.83655548095703,97.57894897460938
Kyaukphyu,Myanmar,19.4290132,93.5494036,4261,0.22600466012954712,226.00466012954712,2035153,33445,2091-06-12T18:00:00.000000000,19.367311477661133,93.56788635253906
Port Blair,India,11.6670256,92.7359826,127562,0.22570285201072693,225.70285201072693,2503196,6922,2082-05-15T09:00:00.000000000,11.634446144104004,92.6541519165039
Bata,Equatorial Guinea,1.8700008,9.7699873,173046,0.22421346604824066,224.21346604824066,3162710,35742,2092-03-25T21:00:00.000000000,1.8629173040390015,9.872814178466797
Chacabuco,Argentina,-34.6500439,-60.4899876,34587,0.22347503900527954,223.47503900527954,5346243,23376,2088-01-01T03:00:00.000000000,-34.62214279174805,299.43182373046875
Puzi,Taiwan,23.4611111,120.2419444,50000,0.22326332330703735,223.26332330703735,1808131,24892,2088-07-08T15:00:00.000000000,23.444639205932617,120.2839126586914
Taibao,Taiwan,23.45,120.3333333,35000,0.22326332330703735,223.26332330703735,1808131,24892,2088-07-08T15:00:00.000000000,23.444639205932617,120.2839126586914
Bissau,Guinea Bissau,11.8650238,-15.5983608,403339,0.22296684980392456,222.96684980392456,2483988,7814,2082-09-03T21:00:00.000000000,11.985939979553223,344.48834228515625
