city_name,country,city_lat,city_lon,population,max_wind_raw,max_wind,cell_idx,time_idx,timestamp,lat,lon,continent
Makoua,Congo (Brazzaville),-0.0095744,15.6400166,11355,5.418493747711182,19.50657749176025,3294928,18092,1956-03-11T15:00:00.000000000,0.0351493842899799,15.700934410095217,Africa
Wum,Cameroon,6.400422,10.0700207,68836,5.409643173217773,19.474715423583984,2848977,38668,1963-03-27T15:00:00.000000000,6.362038612365723,10.02512550354004,Africa
Fulin,China,29.3500031,102.7167171,1049,5.394403457641602,19.419852447509765,1506062,35119,1962-01-08T00:00:00.000000000,29.279436111450195,102.64977264404295,Asia
Evinayong,Equatorial Guinea,1.4499991,10.5667026,8462,5.384890079498291,19.38560428619385,3187921,30268,1960-05-11T15:00:00.000000000,1.5114234685897827,10.61757755279541,Africa
Paro,Bhutan,27.4293704,89.4167773,15000,5.371674060821533,19.33802661895752,1597533,23985,1958-03-18T06:00:00.000000000,27.451669692993164,89.49664306640625,Asia
Creston,Canada,49.0999603,-116.516697,4816,5.368929386138916,19.3281457901001,687166,48702,1966-09-01T21:00:00.000000000,49.10369110107422,243.5836181640625,North America
Lodja,Congo (Kinshasa),-3.532144326154365,23.591413638094178,68244,5.368544101715088,19.32675876617432,3547123,12267,1954-03-14T12:00:00.000000000,-3.479789018630981,23.538461685180664,Africa
Kampene,Congo (Kinshasa),-3.5995361,26.6700411,37034,5.354664325714111,19.2767915725708,3557041,35595,1962-03-08T12:00:00.000000000,-3.6203866004943848,26.64233589172364,Africa
Gjirokastër,Albania,40.0789981,20.1490026,23437,5.352254867553711,19.26811752319336,1021140,56579,1969-05-13T12:00:00.000000000,40.03514862060547,20.13986015319824,Europe
Gueppi,Peru,-0.1165963,-75.2299665,10,5.351966381072998,19.267078971862794,3314165,58420,1969-12-29T15:00:00.000000000,-0.1757469177246093,284.81280517578125,South America
Kindu,Congo (Kinshasa),-2.963916,25.9099841,262914,5.349624633789063,19.258648681640626,3517433,41334,1964-02-23T21:00:00.000000000,-3.0579965114593506,25.890411376953125,Africa
Caracaraí,Brazil,1.8162315,-61.1276748,11368,5.34548282623291,19.24373817443848,3166749,47212,1966-02-27T15:00:00.000000000,1.8629173040390008,298.8314819335937,South America
Leticia,Colombia,-4.2012067,-69.955261,59575,5.328604221343994,19.18297519683838,3599967,18700,1956-05-26T15:00:00.000000000,-4.182776927947998,289.9836730957031,South America
Gangtok,India,27.3333303,88.6166475,77900,5.320192813873291,19.15269412994385,1601102,46423,1965-11-21T00:00:00.000000000,27.3813705444336,88.69273376464844,Asia
Tonantins,Brazil,-2.8727071,-67.8018927,4561,5.3171067237854,19.14158420562744,3511171,4346,1951-06-28T09:00:00.000000000,-2.917398929595948,292.15606689453125,South America
Owando,Congo (Brazzaville),-0.4796232,15.9199996,34070,5.316020488739014,19.13767375946045,3335933,35544,1962-03-02T03:00:00.000000000,-0.5272407531738281,15.857478141784668,Africa
Xaignabouri,Laos,19.2504645,101.7500577,16200,5.307493686676025,19.10697727203369,2039282,12162,1954-03-01T09:00:00.000000000,19.29701232910156,101.76237487792967,Asia
Moloundou,Congo (Brazzaville),2.0337376,15.2166833,12244,5.305059432983398,19.098213958740235,3152733,8836,1953-01-09T15:00:00.000000000,2.0035150051116943,15.262739181518556,Africa
Okandja,Gabon,-0.6567753691648363,13.679547493075413,7155,5.295743465423584,19.0646764755249,3341010,47291,1966-03-09T12:00:00.000000000,-0.5975395441055298,13.683385848999023,Africa
Jaén,Peru,-5.7095882,-78.8099805,52493,5.271000862121582,18.97560310363769,3701841,39893,1963-08-27T18:00:00.000000000,-5.659050941467285,281.13787841796875,South America
Nuevo Rocafuerte,Peru,-0.9329289,-75.3999819,40,5.266263961791992,18.958550262451173,3365230,26501,1959-01-26T18:00:00.000000000,-0.8787345886230469,284.5754699707031,South America
Kuala Lipis,Malaysia,4.1840011,102.0420006,15448,5.25949764251709,18.934191513061524,3005050,32538,1961-02-19T09:00:00.000000000,4.112477779388428,102.03915405273438,Asia
Florencia,Colombia,1.6104043,-75.6199943,130337,5.256648063659668,18.923933029174805,3176623,4351,1951-06-29T00:00:00.000000000,1.7223198413848877,284.5,South America
Samarinda,Indonesia,-0.5000354,117.1499963,592228,5.2534942626953125,18.91257934570313,3342477,1784,1950-08-12T03:00:00.000000000,-0.5975395441055298,117.1551742553711,Asia
Nelson,Canada,49.4836579,-117.2832911,11779,5.251789569854736,18.90644245147705,675487,47822,1966-05-14T21:00:00.000000000,49.45518493652344,242.7366638183593,North America
Skagway,United States of America,59.4583203,-135.3138959,955,5.234123706817627,18.84284534454346,383865,23752,1958-02-17T03:00:00.000000000,59.50790786743164,224.5890350341797,North America
Abong Mbang,Cameroon,3.9836961,13.183319,14661,5.229126453399658,18.82485523223877,3013651,47141,1966-02-18T18:00:00.000000000,3.971880435943604,13.118892669677734,Africa
Itaituba,Brazil,-4.2586173,-55.9250208,92308,5.224471092224121,18.80809593200684,3605055,25293,1958-08-28T18:00:00.000000000,-4.25307559967041,304.04412841796875,South America
Lambaréné,Gabon,-0.6996098,10.2166267,25310,5.216482639312744,18.77933750152588,3346065,42709,1964-08-13T18:00:00.000000000,-0.6678382754325867,10.235294342041016,Africa
