city_name,country,city_lat,city_lon,population,max_wind_raw_ctrl,max_wind_ctrl,cell_idx_ctrl,time_idx_ctrl,timestamp_ctrl,lat_ctrl,lon_ctrl,max_wind_raw_ssp,max_wind_ssp,cell_idx_ssp,time_idx_ssp,timestamp_ssp,lat_ssp,lon_ssp,wind_diff,continent
Diu,India,20.7196733,70.990395,23779,20.499834060668945,73.79940261840821,1958961,18865,1956-06-16T06:00:00.000000000,20.70298767089844,71.0,45.281734466552734,163.01424407958984,1958961,9957,2083-05-29T18:00:00.000000000,20.70298767089844,71.0,89.21484146118163,Asia
Navsari,India,20.8503927,72.9200345,163000,21.50065040588379,77.40234146118165,1955024,7198,1952-06-18T21:00:00.000000000,20.773286819458008,72.80081176757812,46.05345916748047,165.7924530029297,1955024,9959,2083-05-30T00:00:00.000000000,20.773286819458008,72.80081176757812,88.39011154174806,Asia
Daman,India,20.4170083,72.850013,39737,14.951227188110352,53.82441787719727,1974848,10079,1953-06-14T00:00:00.000000000,20.42179298400879,72.79678344726562,38.3050422668457,137.89815216064454,1974848,9959,2083-05-30T00:00:00.000000000,20.42179298400879,72.79678344726562,84.07373428344727,Asia
Nagasaki,Japan,32.7649884,129.8850329,435455,32.52414321899414,117.08691558837891,1344304,39897,1963-08-28T06:00:00.000000000,32.653778076171875,129.9512176513672,48.80888748168945,175.71199493408204,1344302,25459,2088-09-17T12:00:00.000000000,32.653778076171875,129.73170471191406,58.62507934570313,Asia
Surat,India,21.2019296,72.8380936,3842000,18.53166580200196,66.71399688720703,1939235,7200,1952-06-19T03:00:00.000000000,21.054481506347656,72.63959503173828,34.44891357421875,124.0160888671875,1919591,9959,2083-05-30T00:00:00.000000000,21.405975341796875,72.64286041259766,57.30209197998048,Asia
Shantou,China,23.3719522,116.6680797,1601000,20.3601188659668,73.29642791748047,1819522,51136,1967-07-03T03:00:00.000000000,23.23374366760254,116.79244995117188,35.66008758544922,128.3763153076172,1823338,30940,2090-08-03T15:00:00.000000000,23.16344451904297,116.67015838623048,55.07988739013673,Asia
Busan,South Korea,35.0969988,129.0081017,3480000,29.317909240722656,105.54447326660156,1241400,22367,1957-08-28T00:00:00.000000000,34.90333938598633,128.83248901367188,44.18022155761719,159.04879760742188,1228830,28316,2089-09-09T15:00:00.000000000,35.184532165527344,129.2602081298828,53.50432434082032,Asia
Les Cayes,Haiti,18.2003736,-73.7499793,175457,15.026698112487791,54.096113204956055,2110632,10467,1953-08-01T12:00:00.000000000,18.10193252563477,286.3875427246094,29.3787784576416,105.76360244750975,2106524,25416,2088-09-12T03:00:00.000000000,18.172231674194336,286.3157958984375,51.6674892425537,North America
Kagoshima,Japan,31.5859648,130.561064,555352,18.29525756835937,65.86292724609375,1400639,25521,1958-09-26T06:00:00.000000000,31.45869827270508,130.64515686035156,32.61251449584961,117.4050521850586,1400639,27881,2089-07-17T06:00:00.000000000,31.45869827270508,130.64515686035156,51.54212493896485,Asia
Ulsan,South Korea,35.5486766,129.315008,1061000,27.61224937438965,99.40409774780274,1216322,37178,1962-09-22T09:00:00.000000000,35.465728759765625,129.46153259277344,41.4102897644043,149.07704315185546,1222568,28316,2089-09-09T15:00:00.000000000,35.325130462646484,129.36061096191406,49.672945404052726,Asia
Culiacán,Mexico,24.8319406,-107.3819138,809000,13.99687957763672,50.38876647949219,1737959,31371,1960-09-26T12:00:00.000000000,24.78031539916992,252.52145385742188,26.70264434814453,96.12951965332032,1741690,8266,2082-10-30T09:00:00.000000000,24.71001625061035,252.54019165039065,45.740753173828125,North America
Proserpine,Australia,-20.4162357,148.5834781,3976,13.051887512207031,46.986795043945314,4623301,9136,1953-02-16T03:00:00.000000000,-20.42179298400879,148.58148193359375,25.422168731689453,91.51980743408204,4623301,14708,2085-01-12T15:00:00.000000000,-20.42179298400879,148.58148193359375,44.533012390136726,Oceania
Jiaojing,China,28.6804057,121.4499922,471500,22.63695526123047,81.49303894042968,1541158,19380,1956-08-19T15:00:00.000000000,28.57644844055176,121.5717544555664,34.64439392089844,124.71981811523438,1541158,19307,2086-08-10T12:00:00.000000000,28.57644844055176,121.5717544555664,43.22677917480469,Asia
Harlingen,United States of America,26.1975598,-97.6901976,110339,16.71263313293457,60.165479278564455,1667934,10781,1953-09-09T18:00:00.000000000,26.115991592407227,262.4096374511719,28.6169376373291,103.02097549438476,1660636,25462,2088-09-17T21:00:00.000000000,26.256589889526367,262.3929748535156,42.8554962158203,North America
