start,end,duration_hours,mean_cf,min_cf,mean_cf_ma,mean_solar_cf,mean_wind_cf,severity
1983-11-03 01:00:00,1983-11-11 12:00:00,204,0.04861811994901823,0.00013113351253559813,0.04737405472686642,0.0645243376493454,0.026920989235030845,2.32190353040028
1983-02-09 14:00:00,1983-02-11 07:00:00,42,0.029978667865243988,0.000766976521583274,0.04917072395074727,0.03903727978467941,0.017622122541069984,1.2608959496597525
1983-11-16 06:00:00,1983-11-19 05:00:00,72,0.04310242711226359,0.000657803816953674,0.045553670380273054,0.039808496832847595,0.047595559361767265,1.2166252479170212
1983-12-17 05:00:00,1983-12-20 05:00:00,73,0.04415944372071721,0.006516467459867272,0.046777189646300114,0.025920184329152107,0.06903899984156832,1.1563606083876437
1983-03-18 10:00:00,1983-03-20 10:00:00,49,0.04393499453486494,0.0012267818902619181,0.04831151765214608,0.04630167782306671,0.040706672012171846,0.7871852677916177
1983-12-11 03:00:00,1983-12-13 21:00:00,67,0.04927485199167472,0.008779652087017894,0.051119518412928264,0.03989122062921524,0.062074748759574076,0.7185849165577934
1983-02-26 12:00:00,1983-02-28 10:00:00,47,0.04528909931228999,0.003535191396251321,0.05158312563183327,0.04074013605713844,0.051494188923785024,0.6914123323223703
1983-12-01 01:00:00,1983-12-02 14:00:00,38,0.043883842947447856,0.003025128963869065,0.049589537133375786,0.0494878850877285,0.03623956077276392,0.6124139679969814
1983-03-01 03:00:00,1983-03-02 13:00:00,35,0.05924596648301085,0.00032648848614189773,0.0540362002401051,0.09764239192008972,0.006870691624886178,0.02639117309462015
1983-12-20 07:00:00,1983-12-21 20:00:00,38,0.06467461440299405,0.025470303408801555,0.058450429702670496,0.03233833611011505,0.10878344387450117,-0.17763534731377384
